Swimmer name,Year of birth,Country,Time,Splits,Date
"CSEH, Laszlo",1985,Hungary,1:57.61,"['24.82', '29.04', '35.18', '28.57']",28 Jul 2005
"JANUSAITIS, Vytautas",1981,Lithuania,1:59.72,"['25.83', '30.41', '34.74', '28.74']",27 Jul 2005
"BOGGIATTO, Alessio",1981,Italy,2:00.24,"['26.42', '31.24', '34.32', '28.26']",27 Jul 2005
"BEREZUTSKIY, Igor",1984,Russia,2:01.11,"['26.11', '30.78', '35.79', '28.43']",27 Jul 2005
"TUMIOTTO, Leonardo",1983,Italy,2:01.52,"['26.72', '31.04', '34.31', '29.45']",6 Apr 2005
"KEREKJARTO, Tamas",1979,Hungary,2:01.61,"['26.29', '31.05', '1:04.']",25 Jun 2005
"FEBBRARO, Nicola",1981,Italy,2:01.70,"['26.84', '31.25', '34.87', '28.74']",10 Jun 2005
"FRANCIS, Robin",1982,Great Britain,2:01.90,[],7 Aug 2005
"CARRY, David",1981,Great Britain,2:02.16,"['27.29', '31.72', '35.17', '27.98']",27 May 2005
"TAIT, Gregor",1979,Great Britain,2:02.20,[],8 Aug 2005
"ALEXANDROV, Mihail",1985,Bulgaria,2:02.32,"['25.78', '32.08', '35.39', '29.07']",27 Jul 2005
"AGGELE van, Robin",1984,Netherlands,2:02.42,"['26.41', '1:36.']",24 Apr 2005
"CIANCARINI, Simone",1979,Italy,2:02.46,"['26.56', '31.57', '35.46', '28.87']",4 Aug 2005
"LENDJEL, Dominique",1985,Germany,2:02.61,"['56.75', '1:05.']",24 May 2005
"ZATSEPIN, Alexey",1984,Russia,2:02.77,[],24 Jun 2005
"DALE, Euan",1985,Great Britain,2:02.88,[],14 Aug 2005
"MARIN, Luca",1986,Italy,2:02.96,"['27.70', '30.99', '35.81', '28.46']",4 Aug 2005
"KORZENIOWSKI, Pawel",1985,Poland,2:03.12,[],19 Mar 2005
"CABELLO FORNS, Brenton",1981,Spain,2:03.19,"['26.30', '1:36.']",31 Mar 2005
"ROSOLINO, Massimiliano",1978,Italy,2:03.21,[],Jun 2005
"DRYMONAKOS, Ioannis",1984,Greece,2:03.30,[],13 May 2005
"ROSTOUCHER, Nicolas",1981,France,2:03.38,"['28.55', '31.79', '35.65', '27.39']",16 Apr 2005
"ROEBUCK, Joe",1985,Great Britain,2:03.44,[],18 Mar 2005
"WENZEL, Oliver",1981,Germany,2:03.52,"['57.51', '1:06.']",24 May 2005
"VERRASZTO, David",1988,Hungary,2:03.59,"['27.77', '31.71', '35.65', '28.46']",17 Jul 2005
"WOJT, Lukasz",1982,Poland,2:03.70,"['57.73', '1:05.']",24 May 2005
"GILCHRIST, Kristopher",1983,Great Britain,2:03.72,[],1 Jul 2005
"JASINSKI, Jakub",1987,Poland,2:03.77,"['26.90', '30.88', '36.93', '29.06']",17 Jul 2005
"KOKKODIS, Ioannis",1981,Greece,2:03.77,"['26.70', '31.35', '35.86', '29.86']",27 Jul 2005
"ROGAN, Markus",1982,Austria,2:03.93,[],24 Apr 2005
"KASPROWICZ, Kamil",1984,Germany,2:04.03,"['26.30', '31.85', '1:05.']",8 May 2005
"NAGY, Peter",1980,Hungary,2:04.03,[],12 Aug 2005
"SERGEYEV, Sergiy",1970,Ukraine,2:04.31,[],15 Mar 2005
"ALMEIDA, Carlos Esteves",1988,Portugal,2:04.32,"['27.24', '32.45', '35.68', '28.95']",17 Jul 2005
"STOSS, Sebastian",1986,Austria,2:04.46,"['27.80', '31.81', '36.58', '28.27']",10 Jun 2005
"TURRINI, Federico",1987,Italy,2:04.48,"['27.62', '31.66', '35.95', '29.25']",6 Apr 2005
"DEMETIS, Vasilios",1983,Greece,2:04.64,[],13 May 2005
"MASSACAND, Jonathan",1984,Switzerland,2:04.70,[],14 Aug 2005
"NAZARENKO, Dmytro",1980,Ukraine,2:04.73,[],15 Mar 2005
"ANDRIJAUSKAS, Paulius",1984,Lithuania,2:04.77,"['26.63', '31.77', '36.68', '29.69']",27 Jul 2005
"KVALE, Gard",1984,Norway,2:04.93,"['27.15', '32.08', '36.17', '29.53']",27 Jul 2005
"CARSTENSEN, Jacob",1978,Denmark,2:04.97,"['26.66', '33.27', '35.72', '29.32']",27 Jul 2005
"SIEVINEN, Jani",1974,Finland,2:05.07,[],12 Jun 2005
"HORTH, Fabien",1985,France,2:05.10,"['27.19', '33.56', '35.25', '29.10']",7 Aug 2005
"MANGONI, Vanni",1985,Italy,2:05.15,"['27.65', '31.89', '35.69', '29.92']",19 Jul 2005
"NAGY, Peter",1985,Hungary,2:05.18,"['29.97', '30.51', '1:04.']",25 Jun 2005
"ABERLE, Manuel",1983,Germany,2:05.21,"['57.42', '1:07.']",24 May 2005
"MOURAO, Duarte Rafael",1984,Portugal,2:05.22,"['26.53', '31.60', '36.63', '30.46']",8 Jun 2005
"BIGNON, Yannick",1981,France,2:05.55,"['27.51', '32.09', '36.65', '29.30']",16 Apr 2005
"OTT, Martin",1983,Germany,2:05.56,"['59.36', '1:06.']",24 May 2005
"ADVENA, Sergiy",1984,Ukraine,2:05.59,[],15 Mar 2005
"KRYLOV, Andrey",1984,Russia,2:05.59,[],12 Aug 2005
"PETTERSSON, Axel",1983,Sweden,2:05.61,[],2 Jul 2005
"WARD, Ben",1984,Great Britain,2:05.64,[],17 Mar 2005
"ALJAND, Martti",1987,Estonia,2:05.64,"['27.64', '32.19', '36.16', '29.65']",17 Jul 2005
"RUDAS, Kristian",1985,Germany,2:05.68,"['58.37', '1:07.']",24 May 2005
"MOLNAR, Akos",1987,Hungary,2:05.68,"['1:00.', '1:04.']",12 Jun 2005
"ZOLDAK, Krzysztof",1984,Poland,2:05.71,"['27.25', '32.14', '36.54', '29.78']",21 May 2005
"CAC, Kresimir",1976,Croatia,2:05.72,"['27.29', '33.54', '35.40', '29.49']",4 Jun 2005
"REVERTE UBEDA, Dan",1985,Spain,2:05.79,"['26.95', '1:38.']",31 Mar 2005
"KALENOV, Dmitry",1984,Russia,2:05.79,[],24 Jun 2005
"LEVAILLANT, Batiste",1980,France,2:05.84,"['27.36', '32.41', '35.86', '30.21']",16 Apr 2005
"BIRCH, Simon",1985,Great Britain,2:05.85,[],7 Aug 2005
"NEVO, Gal",1987,Israel,2:05.92,[],6 Aug 2005
"GVOZDEV, Mikhail",1984,Russia,2:05.94,[],24 Jun 2005
"SCHWARZ, Daniel",1987,Germany,2:05.96,"['59.95', '1:06.']",24 May 2005
"STEPANOV, Pavel",1986,Russia,2:05.98,[],24 Mar 2005
"CARRASCO MALLOL, Jordi",1975,Spain,2:06.00,"['27.38', '1:38.']",31 Mar 2005
"PLUTECKI, Adam",1985,Poland,2:06.01,"['26.94', '34.24', '34.27', '30.56']",21 May 2005
"EDO FARRE, Teo",1979,Spain,2:06.04,"['28.31', '1:37.']",4 Aug 2005
"HENRIKSEN, Kim",1979,Norway,2:06.06,"['27.43', '32.79', '34.74', '31.10']",7 Jul 2005
"BURNETT, Simon",1983,Great Britain,2:06.11,"['27.11', '30.70', '38.12', '30.18']",14 Jul 2005
"HACIANE, Hocine",1986,Andorra,2:06.16,"['27.74', '33.28', '34.94', '30.20']",27 Jul 2005
"VALKENGOED van, Thijs",1983,Netherlands,2:06.19,"['27.41', '1:38.']",24 Apr 2005
"LEPOSA, Milan",1984,Hungary,2:06.25,"['26.92', '34.45', '1:04.']",24 Jun 2005
"FILIPPOV, Sergey",1986,Russia,2:06.25,[],24 Jun 2005
"REDINI, Simone",1987,Italy,2:06.27,"['27.26', '33.65', '35.82', '29.54']",17 Jul 2005
"ELLIOT, Craig",1987,Great Britain,2:06.28,[],8 Aug 2005
"MALLET, Gregory",1984,France,2:06.30,"['26.70', '33.39', '37.83', '28.38']",16 Apr 2005
"BATHAZI, Istvan",1978,Hungary,2:06.31,[],11 Jun 2005
"CARVALHO, Diogo Filipe",1988,Portugal,2:06.39,"['27.44', '32.53', '36.79', '29.63']",31 Jul 2005
"SAVERGNINI, Luca",1986,Italy,2:06.43,"['27.12', '31.92', '38.30', '29.09']",19 Jul 2005
"BACHMANN, Stephan",1984,Switzerland,2:06.45,"['27.53', '33.09', '36.33', '29.50']",22 May 2005
"GODDARD, James",1983,Great Britain,2:06.45,[],7 Aug 2005
"WARDLEY, Liam",1986,Great Britain,2:06.46,[],18 Mar 2005
"DEMETIS, Georgios",1986,Greece,2:06.48,[],Mar 2005
"COSENTINO, Michele",1986,Italy,2:06.48,"['26.78', '33.00', '36.86', '29.84']",4 Aug 2005
"TIKHONOV, Alexander",1988,Russia,2:06.51,"['27.03', '32.26', '37.13', '30.09']",17 Jul 2005
"PETROPOULOS, Petros",1985,Greece,2:06.54,[],Mar 2005
"PROKHOROV, Sergey",1978,Russia,2:06.59,[],24 Jun 2005
"LEBHERZ, Yannick",1989,Germany,2:06.61,"['59.07', '1:07.']",24 May 2005
"ZAHAROV, Andrei",1975,Ukraine,2:06.67,"['27.00', '34.25', '35.19', '30.23']",15 Mar 2005
"DUER, Dominik",1986,Austria,2:06.68,"['1:01.', '1:05.']",7 Aug 2005
"MENDONCA, Pedro Miguel Silva Ribeiro",1986,Portugal,2:06.72,"['26.96', '32.93', '36.64', '30.19']",12 Jun 2005
"GASSE, Jan-Christoph",1985,Germany,2:06.75,"['58.65', '1:08.']",24 May 2005
"SILKOV, Dzianis",1982,Belarus,2:06.79,"['27.42', '34.21', '34.77', '30.39']",27 Jul 2005
"SMITH, Robert",1986,Germany,2:06.81,"['26.87', '34.10', '1:05.']",8 May 2005
"HAFFIELD, Thomas",1988,Great Britain,2:06.85,[],8 Aug 2005
"FLOREA, Razvan",1980,Romania,2:06.89,[],5 Mar 2005
"LABZIN, Vladimir",1983,Estonia,2:06.90,[],4 Aug 2005
"DOWNES, Edward",1987,Great Britain,2:06.92,[],8 Aug 2005
"JOHNSON, James",1988,Great Britain,2:06.93,[],8 Aug 2005
"ASHCROFT, Neil",1983,Great Britain,2:06.96,[],17 Mar 2005
"SALT, Richard",1983,Great Britain,2:06.99,[],7 Aug 2005
"GALAVTINE, Antoine",1985,France,2:07.02,"['26.39', '33.56', '37.87', '29.20']",16 Apr 2005
"DEICMANS, Guntars",1983,Latvia,2:07.03,"['26.98', '32.07', '37.16', '30.82']",27 Jul 2005
"SCHMICH, Oliver",1979,Austria,2:07.05,[],12 Aug 2005
"SKRYDLOV, Ilya",1982,Russia,2:07.07,[],24 Jun 2005
"LEPS'KYY, Vadym",1985,Ukraine,2:07.07,[],12 Aug 2005
"MILENKOVIC, Marko",1976,Slovenia,2:07.08,"['27.58', '1:39.']",24 Jun 2005
"SIRIGU, Lorenzo",1981,Italy,2:07.10,"['27.16', '32.76', '37.06', '30.12']",6 Apr 2005
"JUKIC, Dinko",1989,Austria,2:07.13,"['27.25', '32.14', '37.65', '30.09']",4 Jul 2005
"VINE, Alex",1985,Great Britain,2:07.18,[],7 Aug 2005
"SVOBODA, Kvetoslav",1982,Czech Republic,2:07.23,[],9 Apr 2005
"JEDLICKA, Jiri",1987,Czech Republic,2:07.24,[],5 Jun 2005
"BLUNT, Sam",1985,Great Britain,2:07.24,[],7 Aug 2005
"IMPRIC, Sasa",1986,Croatia,2:07.26,"['27.38', '1:39.']",24 Jun 2005
"LIIVAMAEGI, Martin",1988,Estonia,2:07.31,"['27.30', '32.00', '37.56', '30.45']",17 Jul 2005
"SOULIER, Christophe",1984,France,2:07.32,"['59.69', '1:07.']",26 Jun 2005
"VOLOVNIK, Ilya",1988,Russia,2:07.34,"['27.19', '32.25', '37.46', '30.44']",17 Jul 2005
"REGO, Ricardo Amorim",1984,Portugal,2:07.39,[],18 Jun 2005
"ESTEBAN ROMERO, Daniel",1978,Spain,2:07.43,"['27.49', '1:39.']",4 Aug 2005
"PROVERBIO, Tommaso",1983,Italy,2:07.48,[],Jun 2005
"BARANOVSKIY, Vladimir",1984,Russia,2:07.50,[],24 Mar 2005
"HALIKA, Michael",1978,Israel,2:07.54,[],13 May 2005
"SAMUELSSON, Erik",1985,Sweden,2:07.61,[],2 Jul 2005
"RUSSO, Paolo",1979,Italy,2:07.62,[],Jun 2005
"DITTRICH, Marius",1986,Germany,2:07.63,"['1:00.', '1:06.']",24 May 2005
"BORYSIK, Igor",1984,Ukraine,2:07.72,"['27.12', '32.29', '39.23', '29.08']",18 Dec 2005
"KUESTER, Sven",1987,Germany,2:07.77,"['59.67', '1:08.']",24 May 2005
"DUMOT, Remy",1987,France,2:07.79,"['27.78', '34.03', '35.89', '30.09']",16 Apr 2005
"GKATZIS, Konstadinos",1987,Greece,2:07.81,[],Mar 2005
"MARGIS, Mindaugas",1981,Lithuania,2:07.81,[],12 Aug 2005
"WASLIN, David",1988,Great Britain,2:07.83,[],17 Mar 2005
"DRZEWINSKI, Lukasz",1984,Poland,2:07.85,"['1:02.', '1:05.']",30 Apr 2005
"COOK, Jonathan",1989,Great Britain,2:07.86,"['28.18', '32.79', '36.86', '30.03']",4 Jul 2005
"PANNIER, Anthony",1988,France,2:07.90,"['1:00.', '1:07.']",20 Mar 2005
"HOS, Peter",1985,Hungary,2:07.92,"['27.23', '32.92', '1:07.']",24 Jun 2005
"SZABO, Janos",1988,Hungary,2:07.95,"['27.45', '32.80', '1:07.']",17 Apr 2005
"KARNAUGH, Ronald Daniel",1966,Poland,2:07.95,"['27.02', '33.57', '36.78', '30.58']",7 Aug 2005
"WUCHERPFENNIG SIMON, Alfonso",1984,Spain,2:07.95,"['27.44', '1:40.']",4 Aug 2005
"SMITH, Lewis",1988,Great Britain,2:07.96,[],8 Aug 2005
"GLOECKNER, Julius",1984,Germany,2:07.97,"['1:00.', '1:07.']",24 May 2005
"SHNAIDER, Yaniv",1987,Israel,2:08.01,"['28.23', '32.71', '37.73', '29.34']",17 Jul 2005
"FELDWEHR, Hendrik",1986,Germany,2:08.04,"['1:01.', '1:06.']",24 May 2005
"SCHRADER, Christoph",1985,Germany,2:08.09,"['1:00.', '1:08.']",24 May 2005
"BOSNYAK, Tamas",1985,Sweden,2:08.15,[],2 Jul 2005
"MUNGAI, Giacomo",1984,Italy,2:08.18,"['27.78', '33.05', '36.40', '30.95']",6 Apr 2005
"SMITHERS, Jamie",1985,Great Britain,2:08.20,[],2 Dec 2005
"BLOOR, Stuart",1984,Great Britain,2:08.22,[],18 Feb 2005
"MARGIS, Mindaugas",1981,Lithuania,2:07.81,[],12 Aug 2005
"WASLIN, David",1988,Great Britain,2:07.83,[],17 Mar 2005
"DRZEWINSKI, Lukasz",1984,Poland,2:07.85,"['1:02.', '1:05.']",30 Apr 2005
"COOK, Jonathan",1989,Great Britain,2:07.86,"['28.18', '32.79', '36.86', '30.03']",4 Jul 2005
"PANNIER, Anthony",1988,France,2:07.90,"['1:00.', '1:07.']",20 Mar 2005
"HOS, Peter",1985,Hungary,2:07.92,"['27.23', '32.92', '1:07.']",24 Jun 2005
"SZABO, Janos",1988,Hungary,2:07.95,"['27.45', '32.80', '1:07.']",17 Apr 2005
"KARNAUGH, Ronald Daniel",1966,Poland,2:07.95,"['27.02', '33.57', '36.78', '30.58']",7 Aug 2005
"WUCHERPFENNIG SIMON, Alfonso",1984,Spain,2:07.95,"['27.44', '1:40.']",4 Aug 2005
"SMITH, Lewis",1988,Great Britain,2:07.96,[],8 Aug 2005
"GLOECKNER, Julius",1984,Germany,2:07.97,"['1:00.', '1:07.']",24 May 2005
"SHNAIDER, Yaniv",1987,Israel,2:08.01,"['28.23', '32.71', '37.73', '29.34']",17 Jul 2005
"FELDWEHR, Hendrik",1986,Germany,2:08.04,"['1:01.', '1:06.']",24 May 2005
"SCHRADER, Christoph",1985,Germany,2:08.09,"['1:00.', '1:08.']",24 May 2005
"BOSNYAK, Tamas",1985,Sweden,2:08.15,[],2 Jul 2005
"MUNGAI, Giacomo",1984,Italy,2:08.18,"['27.78', '33.05', '36.40', '30.95']",6 Apr 2005
"SMITHERS, Jamie",1985,Great Britain,2:08.20,[],2 Dec 2005
"BLOOR, Stuart",1984,Great Britain,2:08.22,[],18 Feb 2005
"FRANCIOLINI, Federico",1988,Italy,2:08.26,"['28.29', '34.11', '35.54', '30.32']",19 Jul 2005
"MANKOC, Peter",1978,Slovenia,2:08.27,"['1:00.', '1:07.']",7 May 2005
"KOZULJ, Gordan",1976,Croatia,2:08.29,[],May 2005
"MYKHAYLOV, Andriy",1980,Ukraine,2:08.30,"['27.45', '33.29', '36.68', '30.88']",15 Mar 2005
"PAPAHARIZANOU, Dimitrios",1987,Greece,2:08.30,[],13 May 2005
"WOLGE, Philipp",1986,Germany,2:08.36,"['1:00.', '1:08.']",24 May 2005
"PETER, Jeremy",1988,France,2:08.38,"['28.55', '32.61', '36.97', '30.25']",26 Jul 2005
"KORZENIOWSKI, Pawel",1985,Poland,1:55.04,"['26.13', '29.20', '29.86', '29.85']",3 Aug 2006
"GHERGHEL, Ioan",1978,Romania,1:56.93,"['26.84', '30.36', '30.50', '29.23']",2 Aug 2006
"DRYMONAKOS, Ioannis",1984,Greece,1:56.99,"['26.16', '29.74', '30.69', '30.40']",2 Aug 2006
"SKVORTSOV, Nikolay",1984,Russia,1:57.12,"['27.13', '30.21', '30.37', '29.41']",3 Aug 2006
"POLYAKOV, Anatoly",1980,Russia,1:57.30,"['27.02', '29.34', '29.77', '31.17']",2 Aug 2006
"MEEUW, Helge",1984,Germany,1:57.31,"['26.13', '30.05', '1:01.']",21 Jun 2006
"LEBON, Christophe",1982,France,1:57.47,"['26.00', '29.66', '30.64', '31.17']",2 Aug 2006
"VESPE, Francesco",1983,Italy,1:57.57,"['27.09', '30.01', '30.35', '30.12']",3 Aug 2006
"DRZEWINSKI, Lukasz",1984,Poland,1:57.69,"['27.15', '29.91', '30.48', '30.15']",2 Aug 2006
"CSEH, Laszlo",1985,Hungary,1:57.80,"['57.24', '1:00.']",24 Mar 2006
"ADVENA, Sergiy",1984,Ukraine,1:57.92,"['26.83', '30.43', '29.96', '30.70']",2 Aug 2006
"ROEBUCK, Joe",1985,Great Britain,1:58.11,[],7 Apr 2006
"NATULLO, Joseph Davide",1988,Italy,1:58.53,"['26.82', '29.79', '30.75', '31.17']",8 Jul 2006
"STARKE, Benjamin",1986,Germany,1:58.64,"['26.20', '30.18', '1:02.']",21 Jun 2006
"SYLANT'YEV, Denys",1976,Ukraine,1:58.67,"['26.64', '30.00', '30.63', '31.40']",2 Aug 2006
"KIS, Gergo",1988,Hungary,1:58.68,"['27.17', '29.96', '30.72', '30.83']",8 Jul 2006
"ROGER, Pierre",1983,France,1:59.00,"['26.35', '29.99', '30.53', '32.13']",9 Jul 2006
"ALYFANTIS, Romanos-Iason",1986,Greece,1:59.05,[],16 Dec 2006
"BODROGI, Viktor",1983,Hungary,1:59.49,"['26.80', '30.03', '30.86', '31.80']",2 Aug 2006
"VILLA, Paolo",1981,Italy,1:59.66,"['26.94', '31.10', '30.86', '30.76']",9 Aug 2006
"COSENTINO, Michele",1986,Italy,1:59.67,"['27.49', '30.49', '30.41', '31.28']",14 Dec 2006
"BABUCHOWSKI, Marcin",1984,Poland,1:59.92,"['27.10', '30.43', '30.78', '31.61']",23 Nov 2006
"LEWIS, Mark",1983,Great Britain,1:59.95,[],7 Apr 2006
"GKIOULMPAS, Antonios",1986,Greece,2:00.07,"['26.96', '30.36', '31.17', '31.58']",21 Apr 2006
"KOKOSHA, Maxym",1983,Ukraine,2:00.07,[],23 Jun 2006
"KOCHAVI, Nadav",1985,Israel,2:00.13,[],11 Aug 2006
"KEREKJARTO, Tamas",1979,Hungary,2:00.15,"['27.45', '30.46', '30.70', '31.54']",14 Jul 2006
"KOVACS, Norbert",1988,Hungary,2:00.20,"['27.32', '30.25', '31.35', '31.28']",8 Jul 2006
"CHUEV, Illya",1984,Ukraine,2:00.21,"['26.65', '30.56', '30.96', '32.04']",15 Mar 2006
"BENI, Nicolo",1986,Italy,2:00.22,"['27.29', '30.43', '31.31', '31.19']",25 Mar 2006
"COOPER, Todd",1983,Great Britain,2:00.49,[],29 Jun 2006
"ORDONEZ MENA, Pablo",1988,Spain,2:00.58,"['26.73', '31.18', '31.17', '31.50']",8 Jul 2006
"PASTRAS, Sotirios",1986,Greece,2:00.60,"['57.53', '1:03.']",11 Mar 2006
"DEMETIS, Vasilios",1983,Greece,2:00.61,[],14 May 2006
"BOWE, Matthew",1983,Great Britain,2:00.62,"['27.19', '30.80', '31.83', '30.80']",16 Mar 2006
"HOS, Peter",1985,Hungary,2:00.67,"['57.35', '1:03.']",23 Mar 2006
"MANNI, Simone",1987,Italy,2:00.89,"['27.58', '30.77', '31.36', '31.18']",19 Jul 2006
"SKRYDLOV, Ilya",1982,Russia,2:00.97,[],10 Jul 2006
"GORBUN, Roman",1988,Ukraine,2:01.06,"['27.53', '30.06', '30.96', '32.51']",8 Jul 2006
"SJOEDIN, Simon",1986,Sweden,2:01.13,"['27.59', '30.34', '30.97', '32.23']",9 Jul 2006
"FONTEYN, Mathieu",1985,Belgium,2:01.24,"['27.32', '31.39', '31.05', '31.48']",2 Aug 2006
"PALAZOV, Georgi",1980,Bulgaria,2:01.30,"['26.80', '30.59', '31.91', '32.00']",2 Aug 2006
"EMBACHER, Toni",1987,Germany,2:01.31,"['27.09', '30.99', '1:03.']",21 Jun 2006
"EDWARDS, Matthew",1986,Great Britain,2:01.34,[],3 Aug 2006
"KOLOZAR, David",1981,Hungary,2:01.39,"['59.24', '1:02.']",23 Mar 2006
"SCHILHA, Fabian",1987,Germany,2:01.43,"['27.06', '30.79', '1:03.']",20 Jun 2006
"LEFERT, Clement",1987,France,2:01.43,"['26.91', '30.90', '31.21', '32.41']",14 Jul 2006
"LEWANDOWSKI, Maciej",1986,Poland,2:01.43,"['27.07', '30.90', '31.29', '32.17']",23 Nov 2006
"OLIVEIRA, Pedro Diogo",1988,Portugal,2:01.46,"['28.06', '30.63', '31.02', '31.75']",8 Jul 2006
"KUNTZ, Benjamin",1985,Germany,2:01.46,"['27.89', '30.91', '1:02.']",25 Nov 2006
"GANIKHIN, Maxim",1986,Russia,2:01.50,[],10 Jul 2006
"ROCK, Michael",1987,Great Britain,2:01.57,[],7 Apr 2006
"KIERZKOWSKI, Mateusz",1987,Poland,2:01.57,"['27.44', '30.58', '31.69', '31.86']",18 May 2006
"JUKIC, Dinko",1989,Austria,2:01.64,"['26.77', '30.97', '31.39', '32.51']",27 Aug 2006
"POWELL, Ian",1985,Great Britain,2:01.66,[],3 Aug 2006
"DUER, Dominik",1986,Austria,2:01.67,"['27.29', '31.19', '31.76', '31.43']",2 Aug 2006
"EMELING, Gero",1988,Germany,2:01.68,"['26.96', '30.38', '1:04.']",21 Jun 2006
"BOGGIATTO, Alessio",1981,Italy,2:01.68,"['27.58', '30.72', '31.64', '31.74']",14 Dec 2006
"PEREIRA, Fabio Manuel",1986,Portugal,2:01.75,"['27.58', '30.51', '31.84', '31.82']",2 Aug 2006
"ABERSEK, Ales",1977,Slovenia,2:01.87,"['26.89', '30.78', '31.77', '32.43']",2 Aug 2006
"VOLOVNIK, Ilya",1988,Russia,2:01.88,"['28.07', '30.91', '31.71', '31.19']",8 Jul 2006
"ARAUJO, Joao Pedro",1985,Portugal,2:01.97,"['27.20', '30.94', '32.24', '31.59']",23 Mar 2006
"ZUBCSEK, Denes",1987,Hungary,2:01.97,"['58.83', '1:03.']",23 Mar 2006
"ABERLE, Manuel",1983,Germany,2:01.98,"['25.97', '30.45', '1:05.']",20 Jun 2006
"KUCHTA, Rafal",1986,Poland,2:01.99,"['27.49', '30.47', '31.61', '32.42']",18 May 2006
"GERCSAK, Balazs",1986,Hungary,2:01.99,"['59.18', '1:02.']",11 Jun 2006
"FRANK, Lasse",1982,Germany,2:02.05,"['27.44', '31.48', '1:03.']",25 Nov 2006
"MOURAO, Duarte Rafael",1984,Portugal,2:02.11,"['27.08', '31.30', '31.94', '31.79']",23 Mar 2006
"LEVEAUX, Amaury",1985,France,2:02.20,"['26.02', '31.84', '31.24', '33.10']",11 Nov 2006
"CARVALHO, Diogo Filipe",1988,Portugal,2:02.21,"['27.83', '32.22', '1:02.']",2 Dec 2006
"LENADOR RIVAS, Carlos",1987,Spain,2:02.24,"['27.42', '30.88', '1:03.']",16 Jul 2006
"MARKOVIC, Vladan",1977,Serbia,2:02.26,"['27.69', '30.89', '31.20', '32.48']",17 Dec 2006
"GAYDAR, Kostyantyn",1986,Ukraine,2:02.39,"['26.98', '30.24', '32.60', '32.57']",15 Mar 2006
"HOUSTON, Stuart",1989,Great Britain,2:02.41,[],3 Aug 2006
"MAYOR, Andrew",1986,Great Britain,2:02.42,"['27.10', '31.55', '31.84', '31.93']",7 Jun 2006
"RUPPRATH, Thomas",1977,Germany,2:02.46,"['57.80', '1:04.']",11 Mar 2006
"KISS, Boldizsar",1985,Hungary,2:02.54,"['58.98', '1:03.']",23 Mar 2006
"MACMILLAN, Iain",1986,Great Britain,2:02.55,[],7 Apr 2006
"THOMPSON, Peter",1990,Great Britain,2:02.59,"['28.36', '30.90', '31.70', '31.63']",18 Dec 2006
"MAESTRU, Alexandru Felix",1981,Romania,2:02.64,[],9 Aug 2006
"MADARASSY, Adam",1985,Hungary,2:02.71,"['27.03', '31.41', '32.00', '32.27']",29 Mar 2006
"SMITH, Lewis",1988,Great Britain,2:02.76,[],7 Apr 2006
"SASSOT, Romain",1986,France,2:02.76,"['27.09', '30.74', '31.97', '32.96']",14 Jul 2006
"FURLAN, Filippo",1986,Italy,2:02.85,"['27.40', '31.31', '31.69', '32.45']",14 Dec 2006
"KOROSEC, Blaz",1988,Slovenia,2:02.86,"['27.94', '30.93', '31.92', '32.07']",13 Jul 2006
"RESCH, Alessandro",1980,Italy,2:02.86,"['27.34', '31.33', '32.26', '31.93']",14 Dec 2006
"DITTRICH, Marius",1986,Germany,2:02.93,"['26.79', '30.49', '1:05.']",20 Jun 2006
"AGGELE van, Robin",1984,Netherlands,2:02.94,"['26.93', '31.08', '1:04.']",9 Jun 2006
"HEDEL, Joanes",1980,France,2:03.04,"['27.41', '30.98', '31.92', '32.73']",10 May 2006
"DOWNES, Edward",1987,Great Britain,2:03.04,[],15 Dec 2006
"CAPACCHIONE, Alessandro",1981,Italy,2:03.08,"['27.54', '30.59', '32.35', '32.60']",25 Mar 2006
"ESTEBAN ROMERO, Daniel",1978,Spain,2:03.08,"['27.67', '31.12', '1:04.']",16 Jul 2006
"OBERHOLZER, Simon",1985,Switzerland,2:03.20,"['27.78', '31.45', '32.16', '31.81']",19 May 2006
"GERMANO, Luca",1988,Italy,2:03.29,"['27.79', '31.82', '31.08', '32.60']",19 Jul 2006
"DIMITRIADIS, Stefanos",1989,Greece,2:03.35,[],Jun 2006
"ULACIA GALLEGO, Juan Jose",1981,Spain,2:03.35,"['27.27', '30.93', '1:05.']",16 Jul 2006
"BACHMANN, Stephan",1984,Switzerland,2:03.38,"['27.82', '31.65', '31.11', '32.80']",19 May 2006
"MIROSHNICHENKO, Vitaly",1988,Russia,2:03.39,"['27.85', '30.84', '32.05', '32.65']",8 Jul 2006
"TUMIOTTO, Leonardo",1983,Italy,2:03.41,"['27.50', '30.95', '1:04.']",5 Mar 2006
"VOROBYEV, Alexander",1987,Russia,2:03.43,[],10 Jul 2006
"VERLINDEN, Joeri",1988,Netherlands,2:03.43,"['26.95', '31.87', '32.24', '32.37']",1 Dec 2006
"VERRASZTO, David",1988,Hungary,2:03.45,"['28.39', '31.26', '32.18', '31.62']",3 Jun 2006
"KRYLOV, Andrey",1984,Russia,2:03.53,[],10 Jul 2006
"HOLLINGSWORTH, Thomas",1988,Great Britain,2:03.53,[],3 Aug 2006
"SAVAGE, Richard",1986,Great Britain,2:03.54,[],7 Apr 2006
"LOHR, Manuel",1985,Germany,2:03.57,"['27.61', '31.34', '1:04.']",25 Nov 2006
