Swimmer name,Year of birth,Country,Time,Splits,Date
"OSWALD, Maximilian",1994,Germany,2:07.12,"['25.67', '32.11', '1:09.']",4 Jun 2010
"MANAUDOU, Florent",1990,France,2:07.13,"['26.06', '32.83', '37.55', '30.69']",6 Aug 2010
"KRUEGER, Maximilian",1992,Germany,2:07.17,"['26.73', '32.12', '1:08.']",1 Jul 2010
"HANANI, Tal",1993,Israel,2:07.17,[],25 Jul 2010
"VILACECA, Thomas",1990,France,2:07.18,"['25.72', '33.37', '38.22', '29.87']",31 Jul 2010
"LANDRY, Romain",1989,France,2:07.22,"['27.13', '32.88', '36.36', '30.85']",14 Apr 2010
"QUIRIN, Gaetan",1993,France,2:07.22,"['27.49', '32.93', '36.96', '29.84']",17 Jul 2010
"TRENDA, Pawel",1992,Poland,2:07.25,"['27.16', '33.42', '36.45', '30.22']",5 Jun 2010
"BAYRAC, Thibault",1991,France,2:07.27,"['27.24', '33.28', '37.19', '29.56']",14 Apr 2010
"JUOPPERI, Sami",1992,Finland,2:07.27,"['26.97', '32.73', '36.52', '31.05']",15 Jul 2010
"PERISSER, Patrick",1992,France,2:07.28,"['27.68', '32.03', '36.72', '30.85']",22 Apr 2010
"DART, Christopher",1990,Great Britain,2:07.30,[],21 Aug 2010
"CARSTENSEN, Jacob",1978,Denmark,2:07.38M,"['27.55', '33.66', '36.33', '29.84']",3 Aug 2010
"FIRSOV, Felix",1993,Russia,2:07.38,"['1:00.', '1:07.']",17 Dec 2010
"MANTAS MOTA, Adrian",1992,Spain,2:07.41,"['26.53', '1:40.']",23 Jul 2010
"FASTENKO, Vadym",1989,Ukraine,2:07.43,"['27.00', '32.76', '36.34', '31.33']",3 Apr 2010
"SORET, Bastien",1992,Belgium,2:07.44,"['28.09', '31.72', '37.06', '30.57']",22 Apr 2010
"STARKE, Benjamin",1986,Germany,2:07.44,"['25.74', '32.22', '1:09.']",24 Apr 2010
"GREGORY, David",1992,Great Britain,2:07.47,"['27.31', '31.35', '37.19', '31.62']",15 Jul 2010
"JOHNSON, Matthew",1995,Great Britain,2:07.52,[],5 Aug 2010
"SKELTVED, Alexander Brobe",1987,Norway,2:07.53,"['27.67', '32.86', '36.35', '30.65']",5 Mar 2010
"CARDINALE, Enrico",1990,Italy,2:07.54,"['27.34', '32.02', '38.46', '29.72']",23 Jul 2010
